                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.97833,                0.64816,                0.85024,                0.51752,                0.38742,                0.39995,                0.23871,                 1.0824,                0.87007,                0.86897,               0.001024,               0.001024,               0.001024
                    139,                0.97448,                0.64438,                0.84941,                0.52083,                 0.3884,                0.39967,                 0.2384,                 1.0826,                 0.8698,                0.86902,               0.000958,               0.000958,               0.000958
                    140,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    141,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    142,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    143,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    144,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    145,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    146,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    147,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    148,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    149,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
                    150,                0.97307,                0.64239,                0.84933,                0.52249,                0.38898,                0.39969,                 0.2382,                 1.0829,                0.87045,                0.86904,               0.000892,               0.000892,               0.000892
